0	1	date
-92.294135	38.956096	03/01/1977
-91.618789	36.25054	01/01/1977
-88.446906	36.001984	05/01/1977
-98.244438	35.057896	06/01/1977
-94.655301	31.649003	02/01/1977
-89.02213	34.250798	02/01/1977
-94.784436	32.159326	05/01/1977
-91.894033	37.259569	03/01/1977
-91.952974	33.136169	04/01/1977
-95.884116	36.293026	02/07/1978
-91.895726	34.795082	09/01/1977
-93.067716	31.752704	10/01/1977
-92.853593	33.585066	11/01/1977
-91.030836	38.546345	07/01/1977
-90.046548	37.985054	10/01/1977
-80.755079	28.394482	10/15/1985
-89.680555	35.0459	11/01/1977
-88.949519	34.722679	07/01/1977
-88.307303	36.283453	11/01/1977
-98.648058	36.797537	11/01/1977
-93.350579	37.182903	02/01/1977
-95.264717	31.953321	03/14/1978
-94.42351	33.448665	08/08/1978
-91.037917	33.405817	06/01/1979
-89.114342	33.175272	10/01/1977
-94.255951	39.038534	02/01/1978
-97.137213	33.641145	07/21/1993
-96.849791	37.882633	11/01/1977
-89.884439	37.831215	07/01/1977
-92.582368	40.214976	07/01/1977
-90.040789	36.236614	07/01/1977
-87.053601	35.596441	09/15/1981
-94.977095	29.749644	01/22/1985
-94.2633	39.331554	07/01/1977
-89.186425	37.73534	07/01/1977
-90.641222	40.458596	07/01/1977
-88.987588	38.622524	07/01/1977
-89.397723	40.157926	07/01/1977
-90.244319	39.723223	07/01/1977
-89.954797	38.514528	07/01/1977
-93.070888	39.790852	08/29/1978
-87.885889	37.110323	02/14/1978
-89.103355	32.771188	03/28/1978
-96.627313	33.222766	03/28/1978
-96.464213	36.317854	03/21/1978
-94.739412	37.006126	04/04/1978
-93.844736	35.502268	06/01/1978
-96.247637	35.072406	07/18/1978
-97.0988	32.007636	09/12/1978
-97.48443	35.220425	11/01/1977
-89.667248	39.182687	05/16/1978
-94.015091	30.905547	10/10/1978
-89.735503	33.471565	05/15/1979
-88.969827	37.74193	03/27/1979
-97.012005	33.045681	09/05/1978
-88.571497	35.139496	04/10/1979
-93.267125	38.709207	10/03/1978
-97.339667	32.529497	10/17/1978
-97.760235	35.49673	10/31/1978
-89.703527	38.140855	12/05/1978
-88.960256	38.312227	06/13/1978
-96.994754	34.506304	10/24/1978
-94.182678	33.113989	10/17/1978
-97.972644	35.510946	10/10/1978
-97.360422	32.360272	09/19/1978
-90.536864	35.690659	10/31/1978
-93.71448	35.291909	12/05/1978
-96.645828	34.781583	09/19/1978
-96.137671	34.370641	09/19/1978
